Wavelength_microns,Wavelength_bin_size_microns,Rp/R*,Rp/R*_error
0.38,0.03,0.14425,0.0017
0.425,0.015,0.14101,0.00091
0.455,0.015,0.14236,0.00061
0.4825,0.0125,0.14159,0.00083
0.5075,0.0125,0.14107,0.00098
0.53,0.01,0.14182,0.00065
0.5575,0.0175,0.14115,0.00074
0.5684,0.0184,0.14035,0.00091
0.5893,0.0025,0.14182,0.00203
0.6059,0.0141,0.13937,0.00105
0.64,0.02,0.14068,0.00096
0.685,0.025,0.13883,0.00069
0.7367,0.0267,0.14085,0.00131
0.7684,0.005,0.14443,0.00269
0.8067,0.0333,0.13811,0.00114
0.875,0.035,0.14056,0.0013
0.965,0.055,0.13696,0.00122
1.132,0.0231,0.13559,0.0017
1.1784,0.0228,0.13756,0.00157
1.2248,0.0225,0.13905,0.00146
1.2712,0.0223,0.13574,0.00149
1.3176,0.0221,0.13808,0.00143
1.364,0.0219,0.13748,0.00133
1.4104,0.0217,0.1361,0.00134
1.4568,0.0215,0.13861,0.00137
1.5032,0.0214,0.13635,0.00142
1.5496,0.0212,0.13483,0.00143
1.596,0.0211,0.1349,0.00146
1.6424,0.0209,0.13757,0.00149
3.56,0.38,0.13529,0.00058
4.5,0.56,0.13802,0.00103