JD,Dmag
2452996.37506,-0.068
2452996.38204,-0.068
2452996.38552, 0.012
2452996.38900, 0.024
2452996.39947, 0.014
2452996.40295, 0.006
2452996.40644, 0.022
2452996.41133, 0.048
2452996.41481, 0.064
2452996.41831, 0.105
2452996.42179, 0.049
2452996.42528, 0.104
2452996.42876, 0.076
2452996.43225, 0.082
2452996.43593, 0.020
2452996.43941, 0.083
2452996.44289, 0.085
2452996.45638, 0.005
2452996.45987,-0.038
2452996.46336,-0.033
2452996.46684,-0.027
2452996.47034,-0.030
2452996.47382,-0.065
2452996.47730,-0.078
2452996.48079,-0.069
2452996.48427,-0.050
2452996.48775,-0.050
2452996.49825,-0.134
2452996.50176,-0.094
2452996.50524,-0.135
2452996.50873,-0.110
2452996.51221,-0.102
2452996.51569,-0.111
2452996.51918,-0.109
2452996.52503,-0.058
2452996.52854,-0.126
2452996.53203,-0.081
2452996.55610, 0.124
2452996.55959, 0.093
2452996.56308, 0.006
2452996.56656, 0.094
2453000.27843, 0.168
2453000.28191, 0.138
2453000.28541, 0.155
2453000.28889, 0.094
2453000.29237, 0.142
2453000.29691, 0.148
2453000.30039, 0.089
2453000.30388, 0.129
2453000.30736, 0.057
2453000.31084, 0.104
2453000.31439, 0.032
2453000.31787, 0.055
2453000.32135, 0.019
2453000.32484, 0.009
2453000.32833, 0.007
2453000.33182,-0.007
2453000.33530,-0.046
2453000.33878,-0.043
2453000.34575,-0.102
2453000.36122,-0.109
2453000.36471,-0.067
2453002.39583,-0.058
2453002.39932,-0.014
2453002.40280,-0.002
2453002.40977, 0.005
2453002.41325,-0.007
2453002.41674, 0.047
2453002.52201,-0.040
2453002.52550,-0.017
2453002.52898, 0.015
2453002.53247,-0.045
2453002.53595,-0.075
2453002.53944,-0.024
2453002.54293,-0.051
2453002.54641,-0.044
2453002.54990,-0.051
2453002.55338, 0.030
2453002.55686,-0.060
2453002.56036,-0.018
2453002.56384, 0.043
2453002.56733,-0.006
2453002.57081, 0.061
2453002.57429, 0.061
2453002.57778, 0.012
2453002.58127, 0.000
2453002.58476, 0.031
2453002.39234,-0.002
2453009.32135,-0.046
2453009.32584,-0.073
2453009.32818,-0.042
2453009.33052,-0.004
2453009.33286,-0.029
2453009.33520,-0.120
2453009.33752,-0.066
2453009.33986, 0.009
2453009.34220,-0.086
2453009.34454, 0.001
2453009.34688,-0.064
2453009.34921, 0.010
2453009.35154,-0.017
2453009.35388, 0.044
2453009.36340, 0.039
2453009.36574, 0.047
2453009.36808,-0.032
2453009.37508, 0.043
2453009.37976,-0.002
2453009.38209, 0.068
2453009.38442, 0.037
2453009.38676, 0.011
2453009.39144, 0.041
2453009.39377, 0.103
2453009.39610, 0.123
2453009.39844, 0.084
2453009.40078, 0.009
2453009.40311, 0.111
2453009.40779, 0.077
2453009.41245, 0.048
2453009.41479, 0.093
2453009.41713, 0.025
2453009.42181, 0.012
2453009.42414, 0.097
2453009.42647, 0.057
2453009.42881, 0.057
2453009.43115, 0.094
2453009.43348,-0.042
2453009.43582, 0.073
2453009.44282, 0.055
2453009.44516,-0.057
2453009.44750, 0.024
2453009.44984,-0.006
2453009.45485,-0.145
2453009.45719,-0.105
2453009.45953,-0.010
2453009.46186,-0.121
2453009.46420,-0.159
2453009.46654,-0.070
2453009.46887,-0.113
2453009.47354,-0.153
2453009.47588,-0.075
2453009.47822,-0.163
2453009.48288,-0.163
2453009.48522,-0.046
2453009.48756,-0.051
2453009.48990,-0.107
2453009.49223,-0.028
2453009.49456,-0.110
2453009.49690,-0.162
2453009.49924,-0.101
2453009.50157,-0.106
2453009.50391,-0.173
2453009.50625,-0.095
2453009.50858,-0.082
2453009.51091,-0.121
2453009.51325,-0.063
2453009.52260,-0.112
2453009.52493, 0.025
2453009.52727,-0.076
2453009.52961, 0.048
2453009.53194,-0.185
2453009.53428,-0.001
2453009.53662,-0.015
2453009.53896, 0.126
2453009.54830, 0.088
2453009.55064, 0.085
2453009.55297, 0.136
2453009.55764, 0.156
2453009.55998, 0.157
2453009.56231, 0.170
2453009.56465, 0.126
2453009.56699, 0.138
2453009.56932, 0.076
2453009.57166, 0.139
2453009.57399, 0.095
2453009.57633, 0.068
2453009.57867, 0.053
2453009.58101, 0.156
2453009.58334, 0.072
2453009.58567, 0.128
2453009.58801, 0.138
2453024.32664,-0.096
2453024.32898,-0.124
2453024.33132,-0.105
2453024.33366,-0.061
2453024.33600,-0.007
2453024.40159, 0.108
2453024.40507, 0.068
2453024.40855, 0.063
2453024.41204, 0.041
2453024.41552, 0.074
2453024.44185, 0.062
2453024.44534, 0.029
2453024.44882, 0.039
2453024.45230,-0.059
2453024.45581, 0.006
2453024.45988,-0.007
2453025.32208, 0.106
2453025.32442, 0.050
2453025.32676, 0.129
2453025.33144, 0.095
2453025.33377, 0.124
2453025.33611, 0.119
2453025.33845, 0.068
2453025.34078, 0.095
2453025.34311, 0.117
2453025.34635, 0.032
2453025.34869, 0.037
2453025.35103, 0.055
2453025.35337, 0.046
2453025.35574, 0.040
2453025.35810, 0.041
2453025.36044,-0.011
2453025.36278, 0.009
2453025.36512, 0.029
2453025.36745,-0.010
2453026.27649, 0.098
2453026.27883, 0.064
2453026.28117, 0.045
2453026.28351, 0.052
2453026.28584, 0.031
2453026.28818, 0.057
2453026.29052, 0.045
2453026.29285, 0.027
2453026.29519, 0.027
2453026.32957,-0.096
2453026.33191,-0.105
2453026.33424,-0.076
2453026.33657,-0.071
2453026.33891,-0.057
2453026.34125,-0.026
2453026.34359,-0.085
2453026.34593,-0.058
2453026.34825,-0.057
2453026.35059,-0.074
2453026.35293,-0.044
2453026.38293, 0.036
2453026.38528, 0.047
2453026.38762, 0.066
2453026.38995, 0.050
2453026.39228, 0.085
2453026.39462, 0.043
2453026.39696, 0.076
2453026.39929, 0.106
2453026.40163, 0.083
2453026.40397, 0.070
2453026.45300,-0.073
2453026.45534,-0.042
2453026.47087,-0.109
2453026.47321,-0.084
2453026.47554,-0.080
2453026.47788,-0.073
2453026.48022,-0.125
2453026.48255,-0.098
2453026.48488,-0.113
2453026.48722,-0.052
2453027.35948,-0.024
2453027.36182,-0.031
2453027.36414,-0.020
2453027.36882,-0.067
2453027.37116,-0.034
2453027.37350,-0.031
2453027.37582,-0.073
2453027.37816,-0.060
2453027.26785,-0.019
2453027.27019,-0.104
2453027.27251,-0.068
2453027.27485,-0.073
2453027.27719,-0.017
2453027.27953,-0.076
2453027.28186,-0.024
2453027.28420,-0.030
2453027.28654,-0.038
2453027.28888,-0.027
2453027.32255, 0.054
2453027.32488, 0.050
2453027.32721, 0.017
2453027.32955, 0.023
2453027.33189, 0.030
2453027.33422, 0.044
2453027.33656, 0.029
2453027.33890, 0.042
2453027.34123, 0.052
2453027.39659,-0.089
2453027.40426,-0.091
2453027.40660,-0.084
2453027.40894,-0.090
2453027.41127,-0.100
2453027.41361,-0.079
2453027.41595,-0.094
2453027.41828,-0.058
2453027.42061,-0.069
2453027.43794, 0.023
2453027.44029, 0.045
2453027.44263, 0.002
2453027.44495, 0.013
2453027.44729, 0.049
2453027.44963, 0.062
2453027.45197, 0.018
2453027.45431, 0.055
2453027.45664, 0.082
2453027.45898, 0.134
2453027.35714, 0.054
2453027.36648,-0.040

