Name,MPC,a,e,i,Omega,omega,lambda,beta,Dist,Epoch
2000FC8,K00F08C,4.3948e+01,6.4003e-02,1.2479e-02,5.8062e+00,5.0580e-01,-2.766,-0.010,46.566,2457136.9
2000FF8,K00F08F,4.5104e+01,9.7765e-02,7.7842e-02,3.1126e+00,1.9518e+00,-2.791,0.030,44.619,2456426.8
2000FG8,K00F08G,4.3914e+01,6.8563e-02,1.9862e-02,2.7867e+00,2.1621e+00,-2.705,0.014,43.146,2457105.0
2000FH8,K00F08H,4.3497e+01,3.3052e-02,3.6216e-02,1.5404e-01,3.8366e-01,-2.729,-0.010,44.923,2457136.9
2000FS53,K00F53S,4.3052e+01,3.5531e-02,3.6477e-02,4.5436e-01,2.2617e+00,-2.323,-0.013,42.507,2457136.9
2000FT53,K00F53T,4.5125e+01,1.5425e-01,2.0926e-01,6.1643e-01,4.2707e+00,-2.170,-0.076,39.634,2457166.7
2000GV146,K00GE6V,4.4043e+01,6.8378e-02,6.4141e-02,1.7436e+00,1.1106e+00,-2.365,0.053,42.461,2457185.8
2000GX146,K00GE6X,4.4094e+01,1.3699e-02,1.1886e-02,6.0214e+00,5.5946e-01,-2.657,-0.008,44.688,2457104.9
2000GY146,K00GE6Y,4.3964e+01,2.1079e-02,4.7141e-02,2.3551e-01,1.6045e-01,-2.656,-0.011,44.888,2457104.9
2000JF81,K00J81F,4.6127e+01,1.0161e-01,3.0404e-02,3.1387e+00,2.2441e+00,-2.090,0.027,43.974,2456807.9
2000KK4,K00K04K,4.1259e+01,8.3451e-02,3.3383e-01,2.5486e+00,5.2925e+00,-1.921,0.332,44.446,2454232.9
2000KL4,K00K04L,3.8593e+01,6.1944e-02,3.7186e-01,2.5826e+00,4.0047e+00,-1.842,0.367,39.853,2454590.9
2000OB51,K00O51B,3.7834e+01,3.5206e-02,7.7807e-02,2.2140e+00,3.6002e+00,-0.661,-0.021,36.524,2453236.9
2000OH67,K00O67H,4.4165e+01,1.8983e-02,9.8245e-02,1.3586e+00,3.4719e+00,-0.663,-0.091,43.570,2452877.6
2000ON67,K00O67N,4.2985e+01,2.9981e-02,5.4751e-02,1.0115e+00,1.9231e+00,-0.234,-0.053,44.273,2455120.7
2000OU69,K00O69U,4.3168e+01,4.8398e-02,7.7144e-02,1.3484e+00,4.0323e+00,-0.729,-0.067,41.100,2456452.9
2000PU29,K00P29U,4.2442e+01,1.8271e-02,1.2357e-02,3.9660e+00,2.0678e+00,-0.959,0.012,41.845,2452133.9
2000PW29,K00P29W,4.4179e+01,5.9761e-02,3.0700e-02,2.5828e+00,1.5154e+00,-0.944,0.011,43.229,2452172.7
2000PX29,K00P29X,4.2580e+01,5.8732e-02,1.1179e-01,2.3621e+00,4.7196e+00,-0.870,0.011,42.704,2452828.0
2000PY29,K00P29Y,4.4239e+01,5.7031e-02,1.4329e-02,7.8651e-01,2.0914e+00,-0.502,-0.014,46.692,2456211.7
2000PA30,K00P30A,4.7032e+01,1.3690e-01,7.3129e-03,5.6691e+00,5.0801e+00,-0.441,0.001,44.975,2456903.8
2000PC30,K00P30C,4.3063e+01,3.0083e-02,2.1852e-02,1.2533e+00,2.2305e+00,-0.638,-0.021,43.754,2453591.6
2000PD30,K00P30D,4.6522e+01,2.2927e-02,8.0233e-02,5.7703e+00,5.3580e+00,-0.479,0.004,45.902,2456926.8
2000PF30,K00P30F,7.6352e+01,5.0542e-01,1.1025e-01,5.1260e+00,5.8851e+00,-0.945,0.024,40.335,2452117.0
2000PG30,K00P30G,4.5135e+01,1.0538e-01,8.0844e-02,2.2721e+00,5.1797e+00,-0.920,0.005,47.168,2452433.1
2000PH30,K00P30H,7.6760e+01,5.0071e-01,1.4060e-01,2.2205e+00,4.2160e+00,-0.824,-0.016,44.700,2454359.7
2000PM30,K00P30M,4.4006e+01,5.7829e-02,3.9828e-02,2.2651e+00,1.1133e+00,-0.689,-0.007,45.409,2452462.0
2000PN30,K00P30N,4.4832e+01,1.0448e-01,2.6424e-02,2.7760e-01,4.7973e+00,-0.462,-0.018,41.227,2456211.7
2000QC226,K00QM6C,4.4106e+01,5.2380e-02,4.6443e-02,1.7406e+00,3.6031e+00,-0.152,-0.045,42.418,2455455.9
2000QE226,K00QM6E,4.4002e+01,8.1985e-02,2.0822e-02,2.0684e+00,6.1943e+00,-0.180,-0.016,45.787,2455455.9
2000SY370,K00Sb0Y,4.3694e+01,4.5776e-02,3.1905e-02,4.7167e+00,4.9513e+00,-0.941,0.019,44.377,2452496.7
2000ST331,K00SX1T,4.2173e+01,1.1023e-01,5.9114e-02,1.7917e+00,5.7100e+00,1.048,-0.041,37.581,2452228.8
2000WV12,K00W12V,4.3476e+01,4.0629e-02,3.8921e-02,2.0233e+00,2.4959e+00,1.027,-0.033,45.124,2452590.9
2000WT169,K00WG9T,4.4882e+01,1.1246e-02,3.0421e-02,1.9291e+00,3.9684e+00,1.361,-0.017,44.963,2454802.0
2000WL183,K00WI3L,4.3537e+01,6.7128e-02,7.5014e-02,1.6349e+00,3.4814e+00,1.228,-0.030,45.600,2454090.8
2000WM183,K00WI3M,4.4924e+01,1.1458e-01,1.2991e-01,1.4178e+00,2.6047e+00,1.356,-0.006,49.312,2457422.7
2000WN183,K00WI3N,4.4727e+01,1.1420e-01,7.0476e-02,1.6880e+00,1.1530e+00,1.258,-0.031,44.296,2454029.0
2000WO183,K00WI3O,4.3794e+01,6.0262e-02,4.2621e-02,2.1025e+00,4.6614e+00,1.471,-0.026,42.198,2456953.0
2000YV1,K00Y01V,4.3856e+01,3.4153e-02,1.3875e-02,3.3145e+00,3.6469e-01,1.251,-0.012,44.981,2456953.0
2000YX1,K00Y01X,4.5591e+01,7.3236e-02,7.9308e-02,1.1365e+00,5.7993e+00,1.016,-0.010,42.435,2452586.0
2000YZ1,K00Y01Z,4.3707e+01,3.8627e-02,9.6517e-02,1.6717e+00,5.9044e+00,0.999,-0.062,42.090,2452223.1
2000YA2,K00Y02A,4.4082e+01,6.0526e-02,3.2568e-02,2.5668e+00,2.9306e+00,1.221,-0.032,45.047,2456603.0
2000YB2,K00Y02B,3.8742e+01,3.0154e-02,6.6724e-02,2.3661e+00,3.5616e+00,1.336,-0.057,38.876,2457071.7
2000YF2,K00Y02F,4.5570e+01,7.4963e-02,3.5029e-02,1.4188e+00,1.6844e+00,1.271,-0.004,46.145,2457422.8
2001DB106,K01DA6B,4.3125e+01,3.6856e-02,6.6200e-02,2.2703e+00,4.1838e+00,3.063,0.049,44.666,2457127.9
2001DC106,K01DA6C,4.2194e+01,6.1187e-02,3.3406e-02,2.1181e+00,6.0370e+00,3.112,0.029,41.234,2456751.9
2001DD106,K01DA6D,4.4010e+01,9.4093e-02,3.1835e-02,2.1565e+00,2.6965e-02,-3.128,0.027,41.423,2457104.8
2001ES24,K01E24S,4.4303e+01,5.8216e-02,7.0476e-02,1.9485e+00,4.5616e+00,3.052,0.064,46.742,2457104.8
2001FK185,K01FI5K,4.3239e+01,3.9517e-02,2.0438e-02,9.9063e-01,2.9975e+00,-2.449,0.006,41.555,2457049.1
2001FL185,K01FI5L,4.4101e+01,7.4685e-02,6.2134e-02,1.3188e+00,1.1947e+00,3.134,0.062,41.343,2457104.8
2001FT185,K01FI5T,4.7217e+01,1.0973e-01,3.4055e-01,2.9342e-01,2.4839e+00,-2.462,-0.129,44.226,2457460.9
2001FK193,K01FJ3K,4.3965e+01,5.8744e-02,6.1313e-02,1.5683e+00,9.6183e-01,-2.368,0.044,43.358,2457166.5
2001FM194,K01FJ4M,5.4044e+01,3.6527e-01,5.0070e-01,3.1727e+00,7.7278e-01,-2.674,0.227,34.711,2457105.0
2001HZ58,K01H58Z,4.2717e+01,3.7643e-02,5.1260e-02,1.5465e+00,3.3928e-01,-2.201,0.030,43.622,2457166.7
2001HA59,K01H59A,4.3687e+01,4.8497e-02,1.7680e-02,2.6062e+00,5.1989e+00,-2.394,0.017,45.147,2453856.9
2001KF76,K01K76F,4.4395e+01,2.1329e-02,5.6025e-02,8.8876e-01,5.0125e+00,-1.992,-0.014,44.421,2452760.1
2001KH76,K01K76H,4.6117e+01,1.2057e-01,5.6706e-02,4.5665e+00,1.2136e+00,-1.892,-0.011,44.537,2452761.1
2001KW76,K01K76W,4.6013e+01,2.1617e-01,1.8256e-01,1.0791e+00,4.2193e+00,-1.944,-0.020,39.071,2454591.9
2001KA77,K01K77A,4.7415e+01,9.2745e-02,2.0801e-01,4.1740e+00,2.1717e+00,-1.887,0.049,48.613,2453550.8
2001KE77,K01K77E,4.5441e+01,1.8452e-01,3.6624e-01,4.1938e+00,5.6845e+00,-1.737,0.129,39.682,2454590.9
2001KG77,K01K77G,6.1671e+01,4.4946e-01,2.7014e-01,4.3718e+00,2.7103e-01,-1.981,-0.023,34.625,2452761.1
2001KO77,K01K77O,4.3898e+01,1.4585e-01,3.6174e-01,4.2864e+00,2.8445e-01,-1.723,0.104,37.496,2457185.8
2001OK108,K01OA8K,4.2923e+01,3.4895e-02,3.4872e-02,2.0033e+00,2.2290e+00,-0.703,-0.015,42.569,2456572.7
2001OQ108,K01OA8Q,4.5519e+01,3.3898e-01,4.0579e-02,2.2950e+00,6.2218e+00,-2.480,0.041,45.777,2452761.0
2001OZ108,K01OA8Z,4.3299e+01,5.4447e-02,3.6704e-02,2.2743e+00,1.1535e+00,-0.916,0.002,43.993,2452434.0
2001OG109,K01OA9G,4.3491e+01,1.3426e-02,9.5470e-03,5.8062e+00,2.3440e-01,-0.650,-0.002,42.951,2456903.7
2001OM109,K01OA9M,6.8187e+01,4.9069e-01,6.1959e-02,5.3554e+00,5.0910e+00,-0.818,0.006,45.600,2452828.0
2001PK47,K01P47K,3.9756e+01,6.5150e-02,1.5238e-01,4.3286e+00,2.9621e+00,0.288,0.121,37.729,2454772.8
2001QO297,K01QT7O,4.2918e+01,3.6737e-02,1.9844e-02,2.5018e+00,5.5293e+00,-0.070,-0.011,43.225,2454769.7
2001QP297,K01QT7P,4.5227e+01,1.2051e-01,2.4976e-02,1.9513e+00,2.8677e+00,0.118,-0.025,44.646,2456571.8
2001QQ297,K01QT7Q,4.4358e+01,8.2190e-02,7.7039e-02,1.4073e+00,3.6836e+00,0.139,-0.075,43.218,2456570.9
2001QR297,K01QT7R,4.4399e+01,2.5838e-02,8.9780e-02,2.5838e+00,3.8929e+00,-0.445,-0.011,43.462,2455456.7
2001QX297,K01QT7X,4.4150e+01,2.7318e-02,1.5900e-02,4.8792e+00,1.9247e+00,-0.466,0.013,43.451,2454003.8
2001QZ297,K01QT7Z,4.4279e+01,6.4143e-02,3.2376e-02,2.7948e-01,4.5195e+00,-0.725,-0.028,42.130,2454679.9
2001QA298,K01QT8A,4.6170e+01,1.8747e-01,4.1273e-01,2.0438e+00,3.9683e+00,-0.624,-0.202,37.814,2455421.8
2001QC298,K01QT8C,4.6266e+01,1.2339e-01,5.3353e-01,5.8424e+00,6.0231e-02,-0.164,0.171,40.724,2456220.7
2001QD298,K01QT8D,4.2634e+01,5.6830e-02,8.7703e-02,1.2336e+00,3.4477e+00,-0.441,-0.089,41.568,2456182.0
2001QQ322,K01QW2Q,4.4000e+01,5.1721e-02,6.9080e-02,1.3349e+00,6.1150e+00,-0.025,-0.068,43.020,2456618.6
2001QS322,K01QW2S,4.4016e+01,3.8644e-02,4.3110e-03,6.0812e+00,6.2638e+00,0.110,0.001,42.395,2456904.0
2001QX322,K01QW2X,5.8190e+01,3.8886e-01,4.9794e-01,4.4484e+00,1.1384e+00,0.402,0.412,41.279,2455497.3
2001RW143,K01RE3W,4.3023e+01,3.3475e-02,5.1732e-02,2.2945e+00,4.0545e+00,0.531,-0.052,41.722,2456571.9
2001RZ143,K01RE3Z,4.4057e+01,6.3506e-02,3.7036e-02,1.4521e-01,5.6706e-01,0.573,0.016,41.276,2456306.9
2001SE291,K01ST1E,4.5386e+01,1.3177e-01,2.7646e-02,1.8620e+00,4.9878e+00,0.166,-0.028,39.740,2452963.7
2001UN18,K01U18N,4.4254e+01,7.4271e-02,6.2954e-02,4.0109e-01,3.8969e+00,0.565,0.010,46.888,2456571.9
2001XR254,K01XP4R,4.2946e+01,3.3151e-02,2.1520e-02,3.1385e+00,1.3425e+00,2.043,-0.019,43.993,2457460.7
2001XU254,K01XP4U,4.3427e+01,7.7920e-02,1.1362e-01,2.0025e+00,1.2765e+00,2.145,0.018,41.754,2457071.8
2001XX254,K01XP4X,4.3761e+01,2.7644e-02,3.0578e-02,1.4955e+00,1.8507e+00,2.142,0.019,43.287,2457071.8
2002CP154,K02CF4P,5.1443e+01,1.7688e-01,2.5656e-02,1.1624e+00,8.9073e-01,2.625,0.026,42.646,2456365.9
2002CS154,K02CF4S,4.3138e+01,4.9270e-02,2.0560e-02,1.5178e+00,2.4696e+00,3.102,0.021,41.729,2457104.8
2002CT154,K02CF4T,4.6783e+01,1.1238e-01,6.1680e-02,2.7833e+00,6.0225e+00,-3.135,0.022,42.329,2456364.8
2002CU154,K02CF4U,4.3736e+01,5.9013e-02,5.8503e-02,1.9008e+00,6.7853e-01,2.677,0.042,41.170,2457127.8
2002CY154,K02CF4Y,4.4282e+01,7.7869e-02,1.7087e-02,2.1117e+00,4.1542e+00,3.129,0.015,47.729,2457072.0
2002CZ154,K02CF4Z,4.3432e+01,5.9104e-02,1.7586e-01,2.6690e+00,4.1830e-01,-3.044,0.095,40.888,2457072.0
2002CX224,K02CM4X,4.6163e+01,1.3253e-01,2.9421e-01,7.3766e-01,2.3546e+00,1.007,0.079,48.505,2452937.0
2002CZ224,K02CM4Z,4.4981e+01,6.3016e-02,2.9444e-02,1.1608e+00,4.6441e+00,2.542,0.029,47.796,2456365.8
2002CB225,K02CM5B,4.4030e+01,7.9774e-02,6.6008e-02,1.7540e+00,2.0305e+00,3.060,0.065,41.278,2457104.8
2002CY248,K02CO8Y,4.6204e+01,1.4618e-01,1.2280e-01,5.2483e+00,5.8959e+00,2.375,-0.033,51.159,2457045.1
2002CD251,K02CP1D,4.2561e+01,1.1991e-02,2.4941e-02,8.5024e-01,1.8846e-01,2.818,0.023,42.663,2456365.9
2002FV6,K02F06V,4.6988e+01,1.5664e-01,5.3966e-02,5.4595e+00,1.1494e+00,3.139,-0.040,53.786,2457072.0
2002FW36,K02F36W,4.2886e+01,2.0422e-02,4.1033e-02,1.0003e+00,2.4521e+00,2.980,0.038,42.101,2457104.8
2002FX36,K02F36X,4.4170e+01,4.8798e-02,1.9775e-02,5.2534e+00,1.3907e+00,3.017,-0.016,46.043,2457072.0
2002GA32,K02G32A,5.0875e+01,2.9097e-01,2.6407e-01,4.2712e+00,1.1202e+00,-1.987,0.010,40.904,2453180.9
2002GH32,K02G32H,4.2007e+01,8.9968e-02,4.6572e-01,3.8510e+00,4.3646e+00,-2.341,0.040,43.311,2455651.8
2002PO149,K02PE9O,4.4027e+01,6.2225e-02,1.1729e-02,1.2479e+00,2.1866e+00,-0.143,-0.012,46.458,2456867.9
2002PP149,K02PE9P,4.0922e+01,8.9604e-02,6.0584e-01,2.7865e+00,2.1847e+00,-0.201,-0.110,39.149,2455456.8
2002PD155,K02PF5D,4.3228e+01,5.7050e-03,1.0064e-01,5.6215e+00,9.2125e-01,-0.336,0.034,43.022,2453266.9
2002PV170,K02PH0V,4.2662e+01,1.3831e-02,2.2201e-02,1.5442e+00,4.8617e+00,-0.305,-0.022,42.122,2456916.9
2002PX170,K02PH0X,4.2656e+01,4.2363e-02,2.7402e-02,2.0787e+00,1.9582e+00,-0.304,-0.019,43.290,2456952.7
2002PY170,K02PH0Y,4.3015e+01,3.2849e-02,5.2639e-02,1.9338e+00,2.1834e+00,-0.272,-0.043,43.402,2456867.9
2002PA171,K02PH1A,4.4340e+01,7.7210e-02,4.3773e-02,1.9122e+00,4.9267e-01,-0.355,-0.034,47.459,2456572.7
2002PC171,K02PH1C,4.4702e+01,5.8942e-02,6.2430e-02,5.8770e+00,5.3881e+00,-0.258,0.010,43.306,2457334.7
2002VE130,K02VD0E,4.4542e+01,6.6805e-02,5.6584e-02,6.2275e+00,4.0529e+00,1.311,0.056,47.188,2456603.0
2002VF130,K02VD0F,4.5794e+01,1.1624e-01,3.4083e-01,4.4945e+00,1.9588e+00,1.200,0.058,42.554,2453320.0
2002VT130,K02VD0T,4.2436e+01,3.2522e-02,2.0281e-02,5.8395e+00,6.0109e+00,1.300,0.020,43.016,2457046.9
2002VB131,K02VD1B,4.3126e+01,4.1343e-02,2.6686e-02,1.5151e+00,2.4836e+00,0.584,-0.022,44.834,2456573.0
2002VD131,K02VD1D,4.5088e+01,6.4166e-02,1.4888e-02,1.4751e+00,4.2221e+00,0.613,-0.012,43.858,2456572.0
2002VF131,K02VD1F,4.4153e+01,6.0119e-02,3.1538e-02,2.7425e+00,2.8215e-01,1.534,-0.030,43.833,2456953.0
2002WL21,K02W21L,4.3102e+01,4.1258e-02,4.4506e-02,1.1834e+00,5.8220e+00,1.581,0.018,41.926,2457071.7
2002XH91,K02X91H,4.3920e+01,8.9181e-02,8.7109e-02,1.4045e+00,3.2487e+00,1.923,0.044,47.458,2455920.9
2003FJ127,K03FC7J,4.4708e+01,2.5327e-01,3.9958e-01,2.8320e+00,1.5965e+00,2.935,0.041,41.021,2453057.9
2003FM127,K03FC7M,4.3758e+01,6.0894e-02,7.4840e-02,9.1466e-01,1.3502e+00,-2.491,0.020,43.489,2454228.7
2003FD128,K03FC8D,3.8260e+01,2.2184e-02,9.2572e-02,2.6031e+00,5.9271e+00,-3.110,0.051,37.736,2456366.0
2003FM129,K03FC9M,5.0567e+01,2.7769e-01,3.1234e-01,3.6595e+00,8.6329e-01,-2.272,0.118,37.440,2457189.9
2003FZ129,K03FC9Z,6.1787e+01,3.8479e-01,1.0112e-01,4.8922e-01,2.8148e+00,-2.573,-0.007,38.836,2457105.0
2003FA130,K03FD0A,4.2605e+01,3.1502e-02,5.0440e-03,5.3095e+00,4.9228e+00,-2.700,-0.005,41.341,2456426.8
2003GF55,K03G55F,4.5511e+01,5.3363e-02,1.0381e-01,2.8534e+00,5.0222e+00,-2.461,0.086,46.889,2456365.0
2003HX56,K03H56X,4.7201e+01,2.2437e-01,5.1531e-01,3.4478e+00,4.6278e+00,-2.776,0.039,46.519,2454591.9
2003HY56,K03H56Y,4.2598e+01,3.6526e-02,4.4942e-02,6.2207e-01,4.3218e+00,-2.576,0.002,42.036,2457136.9
2003HZ56,K03H56Z,4.3605e+01,4.3050e-03,4.4488e-02,9.9648e-01,1.8611e+00,-2.638,0.021,43.473,2456426.8
2003HE57,K03H57E,4.4203e+01,1.0172e-01,1.5471e-01,1.7448e-01,2.9043e+00,-2.482,-0.071,40.614,2457098.0
2003HG57,K03H57G,4.3618e+01,3.2552e-02,3.6617e-02,6.3362e-01,3.9756e+00,-2.544,0.001,42.665,2457164.8
2003HH57,K03H57H,4.4004e+01,8.6169e-02,2.5028e-02,6.8307e-01,2.6506e+00,-2.597,0.003,40.420,2456426.8
2003KO20,K03K20O,4.3924e+01,4.3200e-02,3.1172e-02,3.9917e+00,2.3879e+00,-2.494,-0.007,45.534,2453441.0
2003LD9,K03L09D,4.7260e+01,1.7500e-01,1.2162e-01,4.1435e+00,5.7377e+00,-1.893,0.031,40.818,2453528.7
2003QV90,K03Q90V,4.3850e+01,5.3739e-02,4.2045e-02,2.4097e+00,5.3714e+00,0.080,-0.031,43.359,2456571.8
2003QX90,K03Q90X,4.3752e+01,2.2620e-02,5.5868e-02,1.0707e+00,1.6696e+00,-0.594,-0.056,44.725,2456571.7
2003QY90,K03Q90Y,4.2741e+01,5.2304e-02,6.5764e-02,1.8180e+00,7.0351e-01,-0.534,-0.048,44.964,2454741.7
2003QD91,K03Q91D,4.3245e+01,3.2424e-02,3.8816e-02,1.4104e+00,3.9930e+00,-0.164,-0.039,42.153,2456867.9
2003QE91,K03Q91E,4.2973e+01,4.7891e-02,6.0580e-02,2.4208e-01,5.0516e+00,-0.169,-0.024,41.525,2456926.8
2003QF91,K03Q91F,4.2952e+01,3.4425e-02,3.8066e-02,1.0487e+00,4.1746e+00,-0.042,-0.034,42.153,2456952.8
2003QG91,K03Q91G,4.2537e+01,1.7512e-02,3.8519e-02,5.4135e-01,6.1396e+00,-0.656,-0.036,42.147,2456572.7
2003QJ91,K03Q91J,4.4251e+01,4.0514e-02,4.3406e-02,1.4628e+00,6.0297e+00,-0.543,-0.040,44.469,2456952.7
2003QK91,K03Q91K,6.7738e+01,4.3222e-01,6.9953e-02,4.8180e+00,1.2104e+00,-0.707,0.050,39.567,2454733.7
2003QL91,K03Q91L,4.3026e+01,9.3110e-03,2.6843e-02,2.8728e+00,3.5243e+00,-0.238,0.000,42.651,2456867.9
2003QN91,K03Q91N,4.2540e+01,1.0856e-01,7.5555e-02,3.2887e-01,5.3211e+00,-0.085,-0.032,38.433,2456868.0
2003QO91,K03Q91O,4.5321e+01,1.3195e-01,1.2420e-01,2.4618e+00,3.2491e+00,-0.223,-0.058,39.649,2455120.7
2003QQ91,K03Q91Q,3.8770e+01,7.1315e-02,9.4335e-02,1.0168e+00,7.9901e-01,0.290,-0.064,38.453,2457306.8
2003QR91,K03Q91R,4.6560e+01,1.8281e-01,6.0982e-02,4.7684e+00,2.2965e-01,-0.535,0.052,39.742,2456916.8
2003QS91,K03Q91S,4.6158e+01,1.4202e-01,6.6549e-02,3.4183e+00,2.8416e+00,-0.200,0.032,39.697,2456867.9
2003QT91,K03Q91T,4.4174e+01,8.2706e-02,3.2987e-03,2.5398e+00,3.0266e+00,0.044,-0.002,41.417,2456952.8
2003QA92,K03Q92A,3.8215e+01,5.9095e-02,5.9882e-02,1.9160e+00,5.1876e+00,-0.371,-0.046,37.279,2456156.1
2003QY111,K03QB1Y,4.3309e+01,3.6513e-02,5.1470e-02,1.6743e+00,3.8239e+00,0.161,-0.053,42.348,2456571.9
2003QZ111,K03QB1Z,4.3006e+01,6.0748e-02,4.6426e-02,5.6905e+00,2.9238e-01,-0.081,0.024,40.459,2456604.6
2003QA112,K03QB2A,4.2641e+01,1.1792e-01,2.7944e-01,1.2095e-02,3.2111e+00,-0.208,-0.060,47.412,2455119.7
2003QB112,K03QB2B,4.4057e+01,1.0793e-01,1.9795e-01,2.3906e-01,5.5556e+00,0.262,0.004,40.347,2456928.0
2003QE112,K03QB2E,4.3027e+01,4.3270e-02,7.3775e-02,1.6472e+00,7.0815e-01,-0.362,-0.068,44.698,2456572.7
2003SN317,K03SV7N,4.2492e+01,4.2380e-02,2.6145e-02,3.7601e+00,1.5252e+00,0.102,0.012,41.649,2454800.8
2003SQ317,K03SV7Q,4.2645e+01,7.9806e-02,4.9857e-01,3.0771e+00,3.3669e+00,0.120,-0.106,39.241,2456220.8
2003TJ58,K03T58J,4.4405e+01,8.6492e-02,1.6668e-02,6.4987e-01,2.0677e-01,1.287,0.010,40.888,2453764.6
2003TK58,K03T58K,4.3079e+01,6.5081e-02,5.8573e-02,1.1770e+00,3.6357e+00,1.470,0.018,45.830,2457071.7
2003TL58,K03T58L,4.3540e+01,4.5016e-02,1.3507e-01,4.4541e+00,3.9389e+00,1.566,-0.032,41.854,2457335.0
2003UY413,K03Uf3Y,4.7248e+01,2.0928e-01,3.6203e-01,5.9562e+00,6.0195e+00,0.486,0.263,41.152,2457229.1
2003UN284,K03US4N,4.2616e+01,3.4040e-03,5.3582e-02,6.2846e-01,6.1790e+00,1.201,0.030,42.505,2457422.8
2003UT291,K03UT1T,4.2787e+01,6.1986e-02,2.8117e-02,8.9258e-01,3.5840e+00,1.043,0.004,45.299,2456572.9
2003UZ291,K03UT1Z,4.5143e+01,1.3275e-01,9.3131e-02,3.9416e+00,5.5278e+00,1.224,-0.037,46.822,2456927.0
2003UB292,K03UT2B,4.7074e+01,5.5501e-02,3.3650e-01,4.9222e-01,3.3890e+00,0.780,0.097,49.684,2456573.0
2003UJ292,K03UT2J,5.5734e+01,3.1790e-01,1.9309e-01,3.3966e+00,3.8717e+00,0.580,-0.066,38.706,2456621.8
2003UN292,K03UT2N,4.4914e+01,1.0852e-01,1.5411e-02,4.1134e-01,1.2879e+00,1.236,0.012,40.418,2457422.8
2003WU188,K03WI8U,4.4132e+01,3.9420e-02,6.5869e-02,1.4670e+00,5.4752e+00,1.852,0.026,43.465,2457460.7
2003YK179,K03YH9K,4.1653e+01,1.4370e-01,3.4228e-01,4.3662e+00,4.9961e+00,1.393,-0.057,41.487,2456245.9
2003YL179,K03YH9L,3.8807e+01,1.8470e-03,4.4052e-02,4.5753e+00,3.0065e+00,1.308,0.006,38.735,2454036.9
2003YM179,K03YH9M,4.0960e+01,5.5557e-02,4.0865e-01,1.2725e+00,5.0068e+00,1.315,0.027,40.329,2453763.8
2003YN179,K03YH9N,4.4260e+01,4.6530e-03,4.8293e-02,1.1566e+00,3.8942e+00,1.550,0.018,44.451,2456603.0
2003YP179,K03YH9P,4.4038e+01,8.0405e-02,1.6563e-02,1.1551e+00,3.1172e-02,2.121,0.014,41.807,2456363.8
2003YR179,K03YH9R,4.3421e+01,5.2249e-02,1.7144e-01,1.8223e+00,4.9689e-01,2.132,0.057,41.180,2456363.8
2003YS179,K03YH9S,4.3585e+01,2.4551e-02,6.5066e-02,1.5109e+00,2.2450e+00,2.117,0.038,43.611,2456365.7
2003YT179,K03YH9T,4.3544e+01,2.6149e-02,2.9391e-02,4.9435e+00,6.0031e+00,2.118,-0.010,44.465,2456363.8
2003YU179,K03YH9U,4.6733e+01,1.5939e-01,8.4753e-02,2.2072e+00,5.6921e+00,2.214,0.001,40.247,2456686.0
2003YV179,K03YH9V,4.7028e+01,2.1822e-01,2.7171e-01,1.9179e+00,1.1733e+00,2.161,0.073,39.447,2456363.8
2003YX179,K03YH9X,4.3581e+01,4.2639e-02,8.4666e-02,1.9570e+00,9.4794e-01,2.148,0.018,42.171,2456365.6
